noun,article,verb,phrase,english,example,category
Anweisung,die,erteilen,eine Anweisung erteilen / geben,to give an instruction,Der Arzt erteilte dem Patienten genaue Anweisungen.,extracted
Anwendung,die,finden,Anwendung finden,to be applied,Die neue Regel findet ab Montag Anwendung.,extracted
Anwendung,die,kommen,zur Anwendung kommen,to be used; to be applied,Im Unterricht kommt oft Partnerarbeit zur Anwendung.,extracted
Anzahlung,die,leisten,eine Anzahlung leisten,to make a deposit,Für die Reise mussten wir eine Anzahlung leisten.,extracted
Anzeige,die,erstatten,Anzeige erstatten,to file a police report,Nach dem Diebstahl erstattete sie Anzeige.,extracted
Applaus,der,spenden,jdm. Applaus spenden,to applaud someone,Das Publikum spendete der Sängerin langen Applaus.,extracted
Arbeit,die,aufnehmen,die Arbeit aufnehmen,to start work,Nach der Pause nahm das Team die Arbeit wieder auf.,extracted
Arbeit,die,einstellen,die Arbeit einstellen,to stop work,Wegen des Sturms mussten die Arbeiter die Arbeit einstellen.,extracted
Ärger,der,bereiten,jdm. Ärger bereiten / machen,to cause trouble,Der kaputte Drucker bereitete uns viel Ärger.,extracted
Arm,der,nehmen,jdn. auf den Arm nehmen,to tease someone; to fool someone,Meine Schwester nahm mich nur auf den Arm.,idiom
Arme,,greifen,jdm. unter die Arme greifen,to help someone,Die Nachbarn griffen der Familie unter die Arme.,idiom
Atem,der,holen,Atem holen,to catch one's breath,Nach dem Lauf musste er erst Atem holen.,extracted
Atem,der,anhalten,den Atem anhalten,to hold one's breath,Beim Tauchen hielt sie den Atem an.,extracted
Auge,das,zudrücken,ein Auge zudrücken,to turn a blind eye,Bei kleinen Fehlern drückt der Lehrer manchmal ein Auge zu.,idiom
Auge,das,behalten,etw. im Auge behalten,to keep an eye on something,Bitte behalte den Termin im Auge.,idiom
Auge,das,fassen,etw. ins Auge fassen,to consider something,Wir fassen einen Umzug ins Auge.,idiom
Ausdruck,der,bringen,etw. zum Ausdruck bringen,to express something,Sie brachte ihre Freude deutlich zum Ausdruck.,extracted
Ausflug,der,machen,einen Ausflug machen / unternehmen,to go on a trip,Am Wochenende machen wir einen Ausflug an den See.,extracted
Auskunft,die,erteilen,jdm. Auskunft erteilen / geben,to give information,Die Mitarbeiterin gab mir freundlich Auskunft.,extracted
Ausschau,die,halten,Ausschau halten nach+Dat.,to look out for,Wir hielten am Bahnhof nach Sami Ausschau.,extracted
Auswahl,die,treffen,eine Auswahl treffen,to make a selection,Für das Fest trafen wir eine Auswahl an Liedern.,extracted
Autorität,die,ausüben,Autorität ausüben,to exercise authority,Eine Lehrerin muss Autorität ausüben können.,extracted
Bad,das,nehmen,ein Bad nehmen,to take a bath,Nach dem langen Tag nahm sie ein warmes Bad.,extracted
Bahn,die,werfen,jdn. aus der Bahn werfen,to throw someone off track,Die schlechte Nachricht warf ihn völlig aus der Bahn.,idiom
Ball,der,bleiben,am Ball bleiben,to stay on it,"Wenn du Fortschritte machen willst, musst du am Ball bleiben.",idiom
Bank,die,schieben,auf die lange Bank schieben,to postpone,Wir sollten die Entscheidung nicht auf die lange Bank schieben.,idiom
Bär,der,aufbinden,jdm. einen Bären aufbinden,to tell someone a tall tale,Er wollte mir einen Bären aufbinden.,idiom
Bedeutung,die,haben,Bedeutung haben,to be important,Pünktlichkeit hat im Beruf große Bedeutung.,extracted
Bedeutung,die,gewinnen,an Bedeutung gewinnen,to become more important,Online-Unterricht gewinnt immer mehr an Bedeutung.,extracted
Bedingung,die,stellen,eine Bedingung stellen,to set a condition,Der Vermieter stellte eine klare Bedingung.,extracted
Bedingung,die,erfüllen,eine Bedingung erfüllen,to meet a condition,Sie erfüllte alle Bedingungen für den Kurs.,extracted
Befehl,der,befolgen,einen Befehl befolgen,to obey an order,Der Soldat musste den Befehl befolgen.,extracted
Behauptung,die,aufstellen,eine Behauptung aufstellen,to make a claim,Der Journalist stellte eine gewagte Behauptung auf.,extracted
Bein,das,stellen,jdm. ein Bein stellen,to trip someone,Im Spiel stellte er dem Gegner ein Bein.,idiom
Beine,,stellen,etw. auf die Beine stellen,to organize something,Die Eltern stellten ein großes Sommerfest auf die Beine.,idiom
Beitrag,der,leisten,einen Beitrag leisten,to contribute,Jeder kann einen Beitrag zum Umweltschutz leisten.,extracted
Bekenntnis,das,ablegen,ein Bekenntnis ablegen,to make a confession; to declare support,Der Politiker legte ein klares Bekenntnis zur Demokratie ab.,extracted
Bemerkung,die,machen,eine Bemerkung machen,to make a remark,Beim Essen machte er eine lustige Bemerkung.,extracted
Beobachtung,die,stehen,unter Beobachtung stehen,to be under observation,Der Patient stand nach der Operation unter Beobachtung.,extracted
Bericht,der,erstatten,Bericht erstatten,to report,Nach der Reise erstattete sie dem Chef Bericht.,extracted
Beruf,der,ausüben,einen Beruf ausüben,to practice a profession,Meine Tante übt einen sozialen Beruf aus.,extracted
Berufung,die,einlegen,Berufung einlegen,to appeal,Der Anwalt legte gegen das Urteil Berufung ein.,extracted
Berührung,die,kommen,in Berührung kommen mit+Dat.,to come into contact with,Im Praktikum kam sie mit vielen Patienten in Berührung.,extracted
Beschluss,der,fassen,einen Beschluss fassen,to pass a resolution,Der Verein fasste einen wichtigen Beschluss.,extracted
Beschwerde,die,einlegen,Beschwerde einlegen,to file a complaint,Die Kundin legte wegen der Rechnung Beschwerde ein.,extracted
Besitz,der,nehmen,in Besitz nehmen,to take possession of,Nach dem Kauf nahmen sie die Wohnung in Besitz.,extracted
Besorgnis,die,erregen,Besorgnis erregen,to cause concern,Die steigenden Preise erregten große Besorgnis.,extracted
Bestellung,die,aufgeben,die / eine Bestellung aufgeben,to place an order,Im Restaurant gaben wir schnell unsere Bestellung auf.,extracted
Besuch,der,bekommen,Besuch bekommen von+Dat.,to receive a visit,Am Sonntag bekommen wir Besuch von Oma.,extracted
Betracht,der,kommen,in Betracht kommen,to be considered,Für die Stelle kommen drei Personen in Betracht.,extracted
Betracht,der,ziehen,etw. in Betracht ziehen,to consider something,Wir ziehen einen späteren Termin in Betracht.,extracted
Betrieb,der,nehmen,etw. in Betrieb nehmen,to put into operation,Die Schule nahm den neuen Computerraum in Betrieb.,extracted
Betrieb,der,einstellen,den Betrieb einstellen,to cease operations,Der kleine Laden stellte den Betrieb im Winter ein.,extracted
Betrug,der,begehen,einen Betrug begehen,to commit fraud,Der Verkäufer hatte einen Betrug begangen.,extracted
Bett,das,gehen,ins Bett gehen,to go to bed,Nach dem Film gingen die Kinder ins Bett.,extracted
Bett,das,machen,das Bett machen,to make the bed,Bitte mach morgens dein Bett.,extracted
Bewegung,die,kommen,in Bewegung geraten / kommen,to start moving,Nach der Pause kam die Gruppe wieder in Bewegung.,extracted
Bewegung,die,setzen,sich in Bewegung setzen,to start moving,Der Zug setzte sich langsam in Bewegung.,extracted
Beweis,der,erbringen,den Beweis erbringen,to provide proof,Die Forscher erbrachten den Beweis für ihre Theorie.,extracted
Beweis,der,stellen,etw. unter Beweis stellen,to prove something,Im Praktikum stellte sie ihr Können unter Beweis.,extracted
Bewusstsein,das,verlieren,das Bewusstsein verlieren,to lose consciousness,Nach dem Sturz verlor der Fahrer kurz das Bewusstsein.,extracted
Beziehung,die,knüpfen,eine Beziehung knüpfen,to establish a relationship,Auf der Konferenz knüpfte sie viele neue Beziehungen.,extracted
Bezug,der,nehmen,Bezug nehmen auf+Akk.,to refer to,Der Brief nimmt Bezug auf unser Gespräch.,extracted
Bilanz,die,ziehen,Bilanz ziehen,to take stock,Am Jahresende zog die Firma Bilanz.,extracted
Bindung,die,eingehen,eine Bindung eingehen,to enter into a commitment,Viele Menschen gehen nur vorsichtig eine neue Bindung ein.,extracted
Blut,das,spenden,Blut spenden,to donate blood,Mein Vater spendet zweimal im Jahr Blut.,extracted
Blut,das,bewahren,ruhig Blut bewahren,to keep calm,Auch bei Problemen sollte man ruhig Blut bewahren.,idiom
Boden,der,gewinnen,an Boden gewinnen,to gain ground,Die neue Partei gewann in der Stadt an Boden.,idiom
Boot,das,holen,jdn. ins Boot holen,to bring someone on board,Für das Projekt holten wir eine Expertin ins Boot.,idiom
Brand,der,geraten,in Brand geraten,to catch fire,Der alte Schuppen geriet in Brand.,extracted
Brand,der,setzen,etw. in Brand setzen / stecken,to set something on fire,Unbekannte setzten ein Auto in Brand.,extracted
Brücke,die,bauen,eine Brücke bauen / errichten,to build a bridge,Die Stadt will über den Fluss eine Brücke bauen.,extracted
Brücke,die,schlagen,eine Brücke schlagen,to build a bridge; to connect,Das Projekt schlägt eine Brücke zwischen Jung und Alt.,idiom
Buch,das,führen,Buch führen,to keep accounts,Der Verein muss über alle Ausgaben Buch führen.,extracted
Bündnis,das,schließen,ein Bündnis schließen mit+Dat.,to form an alliance,Die Parteien schlossen ein Bündnis miteinander.,extracted
Bürgschaft,die,leisten,Bürgschaft leisten,to provide a guarantee,Sein Onkel musste für den Kredit Bürgschaft leisten.,extracted
Chance,die,geben,jdm. eine Chance geben,to give someone a chance,Die Trainerin gab dem neuen Spieler eine Chance.,extracted
Chance,die,verpassen,eine Chance vergeben / verpassen,to miss a chance,Er verpasste die Chance auf eine bessere Note.,extracted
Chaos,das,anrichten,Chaos anrichten / stiften / verursachen,to cause chaos,Der Stromausfall richtete im Büro Chaos an.,extracted
Dach,das,steigen,jdm. aufs Dach steigen,to confront someone,"Wenn er wieder zu spät kommt, steige ich ihm aufs Dach.",idiom
Dampf,der,ablassen,Dampf ablassen,to let off steam,Nach der Prüfung musste sie erst einmal Dampf ablassen.,idiom
Dampf,der,machen,jdm. Dampf machen,to put pressure on someone,Der Chef machte dem Team Dampf.,idiom
Dank,der,sagen,jdm. Dank sagen,to thank someone,Wir sagten den Helfern herzlich Dank.,extracted
Datei,die,öffnen,eine Datei öffnen,to open a file,Kannst du bitte diese Datei öffnen?,extracted
Daten,,erfassen,Daten erfassen,to collect data,Die Mitarbeiter erfassen täglich neue Daten.,extracted
Daten,,verarbeiten,Daten verarbeiten,to process data,Das Programm verarbeitet die Daten automatisch.,extracted
Daumen,,drücken,jdm. die Daumen drücken,to keep one's fingers crossed,Wir drücken Mai für die Prüfung die Daumen.,idiom
Debatte,die,führen,eine Debatte führen,to hold a debate,Im Parlament führten die Abgeordneten eine lange Debatte.,extracted
Decke,die,gehen,an die Decke gehen,to get furious,"Als er die Rechnung sah, ging er an die Decke.",idiom
Diagnose,die,stellen,eine Diagnose stellen,to make a diagnosis,Die Ärztin stellte schnell eine Diagnose.,extracted
Dienst,der,stehen,im Dienst stehen,to be on duty,Der Arzt steht heute Nacht im Dienst.,extracted
Dienst,der,erweisen,jdm. einen Dienst erweisen,to do someone a service,Mit deinem Hinweis hast du mir einen großen Dienst erwiesen.,extracted
Diskussion,die,stehen,zur Diskussion stehen,to be up for discussion,Der neue Stundenplan steht noch zur Diskussion.,extracted
Dokument,das,ausstellen,ein Dokument ausstellen,to issue a document,Das Amt stellte mir ein neues Dokument aus.,extracted
Druck,der,ausüben,Druck ausüben auf+Akk.,to exert pressure on,Die Eltern sollten keinen Druck auf die Kinder ausüben.,extracted
Druck,der,setzen,jdn. unter Druck setzen,to put someone under pressure,Der Termin setzte das Team stark unter Druck.,extracted
Ehe,die,schließen,die Ehe schließen,to marry,Sie schlossen im kleinen Kreis die Ehe.,extracted
Ehre,die,erweisen,jdm. Ehre erweisen,to honor someone,Die Stadt erwies dem Künstler große Ehre.,extracted
Ei,das,aufschlagen,ein Ei aufschlagen,to crack an egg,Für den Kuchen schlägst du zuerst ein Ei auf.,extracted
Eid,der,leisten,einen Eid leisten,to swear an oath,Der Zeuge musste vor Gericht einen Eid leisten.,extracted
Einblick,der,bekommen,einen Einblick bekommen / erhalten,to get an insight,Im Praktikum bekam sie einen Einblick in den Beruf.,extracted
Eindruck,der,machen,Eindruck machen auf+Akk.,to make an impression on,Seine Präsentation machte großen Eindruck auf die Gäste.,extracted
Einfluss,der,nehmen,Einfluss nehmen,to influence,Eltern können auf die Lernmotivation Einfluss nehmen.,extracted
Einklang,der,bringen,in Einklang bringen,to reconcile; to bring into harmony,Sie versucht Beruf und Familie in Einklang zu bringen.,extracted
Einsatz,der,kommen,zum Einsatz kommen,to be used,Bei der Rettung kam ein Hubschrauber zum Einsatz.,extracted
Einspruch,der,einlegen,Einspruch einlegen,to lodge an objection,Der Fahrer legte gegen die Strafe Einspruch ein.,extracted
Einverständnis,das,geben,sein Einverständnis geben,to give consent,Die Eltern gaben ihr Einverständnis zur Klassenfahrt.,extracted
Eis,das,brechen,das Eis brechen,to break the ice,Ein lustiger Kommentar brach sofort das Eis.,idiom
Empfang,der,nehmen,etw. in Empfang nehmen,to receive something,An der Rezeption nahm ich den Schlüssel in Empfang.,extracted
Ende,das,bringen,etw. zu Ende bringen / führen,to finish something,Wir müssen die Aufgabe heute zu Ende bringen.,extracted
Entscheidung,die,treffen,eine Entscheidung treffen / fällen,to make a decision,Nach langer Diskussion trafen wir eine Entscheidung.,extracted
Entschluss,der,fassen,einen / den Entschluss fassen,to make up one's mind,"Sie fasste den Entschluss, die Stelle zu wechseln.",extracted
Enttäuschung,die,bereiten,jdm. eine Enttäuschung bereiten,to disappoint someone,Die Absage bereitete ihm eine große Enttäuschung.,extracted
Erfahrung,die,machen,eine Erfahrung machen,to have an experience,Im Ausland machte sie viele neue Erfahrungen.,extracted
Erfolg,der,haben,Erfolg haben,to be successful,Mit viel Übung hatte er endlich Erfolg.,extracted
Erfolg,der,führen,zum Erfolg führen,to lead to success,Gute Planung führt oft zum Erfolg.,extracted
Ergebnis,das,kommen,zum / zu einem Ergebnis kommen,to reach a result,Nach zwei Stunden kamen wir zu einem Ergebnis.,extracted
Erkältung,die,bekommen,eine Erkältung bekommen,to catch a cold,Im Regen bekam er schnell eine Erkältung.,extracted
Erklärung,die,abgeben,eine Erklärung abgeben,to make a statement,Der Minister gab eine kurze Erklärung ab.,extracted
Erlaubnis,die,beantragen,eine Erlaubnis beantragen,to apply for permission,Für den Stand mussten wir eine Erlaubnis beantragen.,extracted
Ermittlungen,,aufnehmen,Ermittlungen aufnehmen / einleiten,to start investigations,Die Polizei nahm sofort Ermittlungen auf.,extracted
Ersatz,der,leisten,Ersatz leisten,to provide compensation,Die Versicherung muss für den Schaden Ersatz leisten.,extracted
Erwägung,die,ziehen,in Erwägung ziehen,to consider,Wir ziehen einen Kurswechsel in Erwägung.,extracted
Examen,das,ablegen,ein Examen ablegen,to take an exam,Im Juni legt sie ihr Examen ab.,extracted
Experiment,das,durchführen,ein Experiment durchführen,to conduct an experiment,Die Klasse führte ein Experiment im Labor durch.,extracted
Explosion,die,auslösen,eine Explosion auslösen / verursachen,to cause an explosion,Ein technischer Fehler löste die Explosion aus.,extracted
Faden,der,verlieren,den Faden verlieren,to lose one's train of thought,Während des Vortrags verlor er kurz den Faden.,idiom
Fahrkarte,die,ausstellen,(jdm.) eine Fahrkarte ausstellen,to issue a ticket,Der Automat stellte mir keine Fahrkarte aus.,extracted
Fahrt,die,aufnehmen,Fahrt aufnehmen,to pick up speed,Nach dem Start nahm der Zug schnell Fahrt auf.,idiom
Fall,der,sein,der Fall sein,to be the case,Das ist hier leider nicht der Fall.,extracted
Falle,die,locken,jdn. in die Falle locken,to lure someone into a trap,Die Betrüger lockten ältere Menschen in die Falle.,idiom
Familie,die,gründen,eine Familie gründen,to start a family,Sie möchten später eine Familie gründen.,extracted
Farbe,die,bekennen,Farbe bekennen,to show one's true colors; take a clear position,In der Diskussion musste er Farbe bekennen.,idiom
Fassung,die,bewahren,die Fassung bewahren,to keep one's composure,Trotz der schlechten Nachricht bewahrte sie die Fassung.,idiom
Feierabend,der,machen,Feierabend machen,to finish work for the day,Um sechs machte das Team Feierabend.,extracted
Feld,das,räumen,das Feld räumen,to leave the field; withdraw,Nach der Niederlage musste der Kandidat das Feld räumen.,idiom
Fettnäpfchen,das,treten,ins Fettnäpfchen treten,to put one's foot in it,Mit seiner Bemerkung trat er ins Fettnäpfchen.,idiom
Feuer,das,fangen,Feuer fangen,to catch fire; become enthusiastic,Die Kinder fingen für das Theaterprojekt Feuer.,idiom
Fieber,das,haben,Fieber haben,to have a fever,Seit gestern hat Sami hohes Fieber.,extracted
Figur,die,machen,eine gute / schlechte Figur machen,to make a good/bad impression,Beim Vortrag machte sie eine gute Figur.,idiom
Film,der,drehen,einen Film drehen,to shoot a film,Die Klasse drehte einen kurzen Film.,extracted
Flagge,die,zeigen,Flagge zeigen,to show commitment,Bei der Demonstration zeigten viele Menschen Flagge.,idiom
Flucht,die,ergreifen,die Flucht ergreifen,to flee,"Als der Hund bellte, ergriff die Katze die Flucht.",extracted
Folge,die,haben,etw. zur Folge haben,to result in something,Der Unfall hatte lange Verspätungen zur Folge.,extracted
Form,die,bringen,in Form bringen,to get into shape; put in order,Der Trainer brachte die Mannschaft wieder in Form.,idiom
Frage,die,stellen,jdm. die / eine Frage stellen,to ask someone a question,Der Schüler stellte der Lehrerin eine Frage.,extracted
Frage,die,stellen,etw. in Frage stellen,to question something,Einige Eltern stellten die Entscheidung in Frage.,extracted
Freude,die,bereiten,jdm. (eine) Freude bereiten / machen,to make someone happy,Der Besuch bereitete der Oma große Freude.,extracted
Freundschaft,die,schließen,Freundschaft schließen mit+Dat.,to make friends with,Im Ferienlager schloss sie Freundschaft mit einem Mädchen.,extracted
Frieden,der,schließen,Frieden schließen mit+Dat.,to make peace with,Nach dem Streit schlossen die Geschwister Frieden.,extracted
Frist,die,setzen,eine Frist setzen,to set a deadline,Die Behörde setzte eine Frist von zwei Wochen.,extracted
Früchte,,tragen,Früchte tragen,to bear fruit,Die tägliche Übung trägt langsam Früchte.,idiom
Fuß,der,fassen,Fuß fassen,to gain a foothold,Nach dem Umzug fasste sie schnell Fuß in der neuen Stadt.,idiom
Garantie,die,geben,die / eine Garantie geben,to give a guarantee,Der Händler gab zwei Jahre Garantie.,extracted
Gas,das,geben,Gas geben,to accelerate; to hurry,"Wir müssen jetzt Gas geben, sonst kommen wir zu spät.",idiom
Gebrauch,der,machen,Gebrauch machen von+Dat.,to make use of,Viele Schüler machen von der Bibliothek Gebrauch.,extracted
Gebühr,die,entrichten,eine Gebühr entrichten,to pay a fee,Für den Kurs musste ich eine Gebühr entrichten.,extracted
Gedächtnis,das,behalten,im Gedächtnis behalten,to remember,Diese Regel solltest du im Gedächtnis behalten.,extracted
Gedanke,der,kommen,auf einen Gedanken kommen,to get an idea,Beim Lesen kam sie auf einen neuen Gedanken.,extracted
Geduld,die,haben,Geduld haben,to be patient,Beim Lernen muss man Geduld haben.,extracted
Gefahr,die,geraten,in Gefahr geraten / kommen,to get into danger,Beim Klettern geriet der Junge in Gefahr.,extracted
Gefühl,das,haben,ein Gefühl haben / hegen,to have a feeling,Ich habe ein gutes Gefühl bei der Prüfung.,extracted
Gefängnis,das,sitzen,im Gefängnis sitzen,to be in prison,Der Täter sitzt seit Jahren im Gefängnis.,extracted
Verstand,der,verlieren,den Verstand verlieren,to lose one's mind,Bei diesem Lärm könnte man den Verstand verlieren.,idiom
Verständnis,das,haben,Verständnis haben für+Akk.,to have understanding for,Die Lehrerin hat Verständnis für unsere Situation.,extracted
Versuch,der,unternehmen,einen Versuch machen / unternehmen,to make an attempt,Wir unternehmen morgen einen neuen Versuch.,extracted
Versuch,der,wagen,einen Versuch wagen / riskieren,to dare an attempt,Nach langem Zögern wagte sie einen Versuch.,extracted
Vertrag,der,schließen,einen Vertrag (ab)schließen,to conclude a contract,Wir schließen morgen den Vertrag ab.,extracted
