id,phrase,englishMeaning,englishSentence,correctGermanSentence,wrongGermanSentence,example
beitrag-der-einen-beitrag-leisten-leisten,einen Beitrag leisten,to contribute,Everyone can contribute to environmental protection.,Jeder kann einen Beitrag zum Umweltschutz leisten.,Jeder kann einen Beitrag zum Umweltschutz machen.,Jeder kann einen Beitrag zum Umweltschutz leisten.
bemerkung-die-eine-bemerkung-machen-machen,eine Bemerkung machen,to make a remark,He made a funny remark during dinner.,Beim Essen machte er eine lustige Bemerkung.,Beim Essen gab er eine lustige Bemerkung.,Beim Essen machte er eine lustige Bemerkung.
bericht-der-bericht-erstatten-erstatten,Bericht erstatten,to report,She reported to her boss after the trip.,Nach der Reise erstattete sie dem Chef Bericht.,Nach der Reise machte sie dem Chef Bericht.,Nach der Reise erstattete sie dem Chef Bericht.
beschluss-der-einen-beschluss-fassen-fassen,einen Beschluss fassen,to pass a resolution,The club passed an important resolution.,Der Verein fasste einen wichtigen Beschluss.,Der Verein machte einen wichtigen Beschluss.,Der Verein fasste einen wichtigen Beschluss.
beschwerde-die-beschwerde-einlegen-einlegen,Beschwerde einlegen,to file a complaint,The customer filed a complaint about the bill.,Die Kundin legte wegen der Rechnung Beschwerde ein.,Die Kundin machte wegen der Rechnung Beschwerde ein.,Die Kundin legte wegen der Rechnung Beschwerde ein.
bestellung-die-die-eine-bestellung-aufgeben-aufgeben,die / eine Bestellung aufgeben,to place an order,We quickly placed our order in the restaurant.,Im Restaurant gaben wir schnell unsere Bestellung auf.,Im Restaurant stellten wir schnell unsere Bestellung auf.,Im Restaurant gaben wir schnell unsere Bestellung auf.
besuch-der-besuch-bekommen-von-dat-bekommen,Besuch bekommen von+Dat.,to receive a visit,We received a visit from grandma on Sunday.,Am Sonntag bekamen wir Besuch von Oma.,Am Sonntag machten wir Besuch von Oma.,Am Sonntag bekommen wir Besuch von Oma.
betracht-der-etw-in-betracht-ziehen-ziehen,etw. in Betracht ziehen,to consider something,We are considering a later appointment.,Wir ziehen einen späteren Termin in Betracht.,Wir nehmen einen späteren Termin in Betracht.,Wir ziehen einen späteren Termin in Betracht.
bett-das-das-bett-machen-machen,das Bett machen,to make the bed,Please make your bed in the morning.,Bitte mach morgens dein Bett.,Bitte stell morgens dein Bett.,Bitte mach morgens dein Bett.
blut-das-blut-spenden-spenden,Blut spenden,to donate blood,My father donates blood twice a year.,Mein Vater spendet zweimal im Jahr Blut.,Mein Vater gibt zweimal im Jahr Blut.,Mein Vater spendet zweimal im Jahr Blut.
brucke-die-eine-brucke-bauen-errichten-bauen,eine Brücke bauen / errichten,to build a bridge,The city wants to build a bridge over the river.,Die Stadt will eine Brücke über den Fluss bauen.,Die Stadt will eine Brücke über den Fluss machen.,Die Stadt will über den Fluss eine Brücke bauen.
buch-das-buch-fuhren-fuhren,Buch führen,to keep accounts,The club has to keep accounts for all expenses.,Der Verein muss über alle Ausgaben Buch führen.,Der Verein muss über alle Ausgaben Buch machen.,Der Verein muss über alle Ausgaben Buch führen.
chance-die-jdm-eine-chance-geben-geben,jdm. eine Chance geben,to give someone a chance,The coach gave the new player a chance.,Die Trainerin gab dem neuen Spieler eine Chance.,Die Trainerin machte dem neuen Spieler eine Chance.,Die Trainerin gab dem neuen Spieler eine Chance.
chance-die-eine-chance-vergeben-verpassen-verpassen,eine Chance vergeben / verpassen,to miss a chance,He missed the chance for a better grade.,Er verpasste die Chance auf eine bessere Note.,Er gab die Chance auf eine bessere Note.,Er verpasste die Chance auf eine bessere Note.
dank-der-jdm-dank-sagen-sagen,jdm. Dank sagen,to thank someone,We thanked the helpers warmly.,Wir sagten den Helfern herzlich Dank.,Wir machten den Helfern herzlich Dank.,Wir sagten den Helfern herzlich Dank.
datei-die-eine-datei-offnen-offnen,eine Datei öffnen,to open a file,Can you open this file please?,Kannst du bitte diese Datei öffnen?,Kannst du bitte diese Datei machen?,Kannst du bitte diese Datei öffnen?
daten-none-daten-erfassen-erfassen,Daten erfassen,to collect data,The employees collect new data every day.,Die Mitarbeiter erfassen täglich neue Daten.,Die Mitarbeiter machen täglich neue Daten.,Die Mitarbeiter erfassen täglich neue Daten.
debatte-die-eine-debatte-fuhren-fuhren,eine Debatte führen,to hold a debate,The students held a long debate.,Die Schüler führten eine lange Debatte.,Die Schüler machten eine lange Debatte.,Im Parlament führten die Abgeordneten eine lange Debatte.
diagnose-die-eine-diagnose-stellen-stellen,eine Diagnose stellen,to make a diagnosis,The doctor quickly made a diagnosis.,Die Ärztin stellte schnell eine Diagnose.,Die Ärztin machte schnell eine Diagnose.,Die Ärztin stellte schnell eine Diagnose.
dokument-das-ein-dokument-ausstellen-ausstellen,ein Dokument ausstellen,to issue a document,The office issued me a new document.,Das Amt stellte mir ein neues Dokument aus.,Das Amt machte mir ein neues Dokument aus.,Das Amt stellte mir ein neues Dokument aus.
druck-der-druck-ausuben-auf-akk-ausuben,Druck ausüben auf+Akk.,to exert pressure on,Parents should not exert pressure on children.,Eltern sollten keinen Druck auf die Kinder ausüben.,Eltern sollten keinen Druck auf die Kinder machen.,Die Eltern sollten keinen Druck auf die Kinder ausüben.
druck-der-jdn-unter-druck-setzen-setzen,jdn. unter Druck setzen,to put someone under pressure,The deadline put the team under pressure.,Der Termin setzte das Team unter Druck.,Der Termin machte das Team unter Druck.,Der Termin setzte das Team stark unter Druck.
ei-das-ein-ei-aufschlagen-aufschlagen,ein Ei aufschlagen,to crack an egg,First crack an egg for the cake.,Für den Kuchen schlägst du zuerst ein Ei auf.,Für den Kuchen machst du zuerst ein Ei auf.,Für den Kuchen schlägst du zuerst ein Ei auf.
einblick-der-einen-einblick-bekommen-erhalten-bekommen,einen Einblick bekommen / erhalten,to get an insight,She got an insight into the job during the internship.,Im Praktikum bekam sie einen Einblick in den Beruf.,Im Praktikum machte sie einen Einblick in den Beruf.,Im Praktikum bekam sie einen Einblick in den Beruf.
eindruck-der-eindruck-machen-auf-akk-machen,Eindruck machen auf+Akk.,to make an impression on,His presentation made a strong impression on the guests.,Seine Präsentation machte großen Eindruck auf die Gäste.,Seine Präsentation gab großen Eindruck auf die Gäste.,Seine Präsentation machte großen Eindruck auf die Gäste.
einfluss-der-einfluss-nehmen-nehmen,Einfluss nehmen,to influence,Parents can influence motivation to learn.,Eltern können auf die Lernmotivation Einfluss nehmen.,Eltern können auf die Lernmotivation Einfluss machen.,Eltern können auf die Lernmotivation Einfluss nehmen.
einspruch-der-einspruch-einlegen-einlegen,Einspruch einlegen,to lodge an objection,The driver lodged an objection against the fine.,Der Fahrer legte gegen die Strafe Einspruch ein.,Der Fahrer machte gegen die Strafe Einspruch ein.,Der Fahrer legte gegen die Strafe Einspruch ein.
einverstandnis-das-sein-einverstandnis-geben-geben,sein Einverständnis geben,to give consent,The parents gave consent for the class trip.,Die Eltern gaben ihr Einverständnis zur Klassenfahrt.,Die Eltern machten ihr Einverständnis zur Klassenfahrt.,Die Eltern gaben ihr Einverständnis zur Klassenfahrt.
empfang-der-etw-in-empfang-nehmen-nehmen,etw. in Empfang nehmen,to receive something,I received the key at reception.,An der Rezeption nahm ich den Schlüssel in Empfang.,An der Rezeption machte ich den Schlüssel in Empfang.,An der Rezeption nahm ich den Schlüssel in Empfang.
entscheidung-die-eine-entscheidung-treffen-fallen-treffen,eine Entscheidung treffen / fällen,to make a decision,We made a decision after a long discussion.,Nach langer Diskussion trafen wir eine Entscheidung.,Nach langer Diskussion nahmen wir eine Entscheidung.,Nach langer Diskussion trafen wir eine Entscheidung.
entschluss-der-einen-den-entschluss-fassen-fassen,einen / den Entschluss fassen,to make up one's mind,She made up her mind to change jobs.,Sie fasste den Entschluss die Stelle zu wechseln.,Sie machte den Entschluss die Stelle zu wechseln.,Sie fasste den Entschluss die Stelle zu wechseln.
erfahrung-die-eine-erfahrung-machen-machen,eine Erfahrung machen,to have an experience,She had many new experiences abroad.,Im Ausland machte sie viele neue Erfahrungen.,Im Ausland hatte sie viele neue Erfahrungen gemacht.,Im Ausland machte sie viele neue Erfahrungen.
erfolg-der-erfolg-haben-haben,Erfolg haben,to be successful,With a lot of practice he was finally successful.,Mit viel Übung hatte er endlich Erfolg.,Mit viel Übung machte er endlich Erfolg.,Mit viel Übung hatte er endlich Erfolg.
erfolg-der-zum-erfolg-fuhren-fuhren,zum Erfolg führen,to lead to success,Good planning often leads to success.,Gute Planung führt oft zum Erfolg.,Gute Planung macht oft zum Erfolg.,Gute Planung führt oft zum Erfolg.
ergebnis-das-zum-zu-einem-ergebnis-kommen-kommen,zum / zu einem Ergebnis kommen,to reach a result,After two hours we reached a result.,Nach zwei Stunden kamen wir zu einem Ergebnis.,Nach zwei Stunden machten wir zu einem Ergebnis.,Nach zwei Stunden kamen wir zu einem Ergebnis.
erkaltung-die-eine-erkaltung-bekommen-bekommen,eine Erkältung bekommen,to catch a cold,He caught a cold in the rain.,Im Regen bekam er eine Erkältung.,Im Regen machte er eine Erkältung.,Im Regen bekam er schnell eine Erkältung.
erklarung-die-eine-erklarung-abgeben-abgeben,eine Erklärung abgeben,to make a statement,The minister made a short statement.,Der Minister gab eine kurze Erklärung ab.,Der Minister stellte eine kurze Erklärung ab.,Der Minister gab eine kurze Erklärung ab.
erlaubnis-die-eine-erlaubnis-beantragen-beantragen,eine Erlaubnis beantragen,to apply for permission,We had to apply for permission for the stand.,Wir mussten für den Stand eine Erlaubnis beantragen.,Wir mussten für den Stand eine Erlaubnis stellen.,Für den Stand mussten wir eine Erlaubnis beantragen.
examen-das-ein-examen-ablegen-ablegen,ein Examen ablegen,to take an exam,She is taking her exam in June.,Im Juni legt sie ihr Examen ab.,Im Juni macht sie ihr Examen ab.,Im Juni legt sie ihr Examen ab.
experiment-das-ein-experiment-durchfuhren-durchfuhren,ein Experiment durchführen,to conduct an experiment,The class conducted an experiment in the lab.,Die Klasse führte im Labor ein Experiment durch.,Die Klasse machte im Labor ein Experiment durch.,Die Klasse führte ein Experiment im Labor durch.
familie-die-eine-familie-grunden-grunden,eine Familie gründen,to start a family,They want to start a family later.,Sie möchten später eine Familie gründen.,Sie möchten später eine Familie machen.,Sie möchten später eine Familie gründen.
feierabend-der-feierabend-machen-machen,Feierabend machen,to finish work for the day,The team finished work at six.,Um sechs machte das Team Feierabend.,Um sechs hatte das Team Feierabend.,Um sechs machte das Team Feierabend.
fieber-das-fieber-haben-haben,Fieber haben,to have a fever,Sami has had a high fever since yesterday.,Seit gestern hat Sami hohes Fieber.,Seit gestern macht Sami hohes Fieber.,Seit gestern hat Sami hohes Fieber.
film-der-einen-film-drehen-drehen,einen Film drehen,to shoot a film,The class shot a short film.,Die Klasse drehte einen kurzen Film.,Die Klasse machte einen kurzen Film.,Die Klasse drehte einen kurzen Film.
folge-die-etw-zur-folge-haben-haben,etw. zur Folge haben,to result in something,The accident resulted in long delays.,Der Unfall hatte lange Verspätungen zur Folge.,Der Unfall machte lange Verspätungen zur Folge.,Der Unfall hatte lange Verspätungen zur Folge.
frage-die-jdm-die-eine-frage-stellen-stellen,jdm. die / eine Frage stellen,to ask someone a question,The student asked the teacher a question.,Der Schüler stellte der Lehrerin eine Frage.,Der Schüler machte der Lehrerin eine Frage.,Der Schüler stellte der Lehrerin eine Frage.
freude-die-jdm-eine-freude-bereiten-machen-bereiten,jdm. (eine) Freude bereiten / machen,to make someone happy,The visit made grandma very happy.,Der Besuch bereitete der Oma große Freude.,Der Besuch stellte der Oma große Freude.,Der Besuch bereitete der Oma große Freude.
frieden-der-frieden-schlie-en-mit-dat-schlie-en,Frieden schließen mit+Dat.,to make peace with,The siblings made peace after the argument.,Nach dem Streit schlossen die Geschwister Frieden.,Nach dem Streit machten die Geschwister Frieden.,Nach dem Streit schlossen die Geschwister Frieden.
frist-die-eine-frist-setzen-setzen,eine Frist setzen,to set a deadline,The office set a deadline of two weeks.,Die Behörde setzte eine Frist von zwei Wochen.,Die Behörde machte eine Frist von zwei Wochen.,Die Behörde setzte eine Frist von zwei Wochen.
gebuhr-die-eine-gebuhr-entrichten-entrichten,eine Gebühr entrichten,to pay a fee,I had to pay a fee for the course.,Für den Kurs musste ich eine Gebühr entrichten.,Für den Kurs musste ich eine Gebühr machen.,Für den Kurs musste ich eine Gebühr entrichten.
geduld-die-geduld-haben-haben,Geduld haben,to be patient,You have to be patient when learning.,Beim Lernen muss man Geduld haben.,Beim Lernen muss man Geduld machen.,Beim Lernen muss man Geduld haben.
gefahr-die-in-gefahr-geraten-kommen-geraten,in Gefahr geraten / kommen,to get into danger,The boy got into danger while climbing.,Beim Klettern geriet der Junge in Gefahr.,Beim Klettern machte der Junge in Gefahr.,Beim Klettern geriet der Junge in Gefahr.
