word,article,english,example
allallein,,add English meaning,Sind alle Kinder da?
allerallerdings,,add English meaning,"Am allerbesten ist es, wenn du dich ins Bett legst und lange schläfst. Dann wirst du schnell wieder gesund."
allgemein,,add English meaning,Wir haben nur über allgemeine Probleme gesprochen.
Alltag,der,add English meaning,"Das ist mein Alltag: putzen, waschen, kochen."
alltäglich,,add English meaning,'alltäglich' kommt in vielen Texten vor.
Alphabet,das,add English meaning,Wie viele Buchstaben hat das Alphabet in Ihrer Sprache?
als,,add English meaning,"Als mein Mann kam, war die Party schon zu Ende."
als ob,,add English meaning,Ich kann 'als ob' in einem Satz benutzen.
also,,add English meaning,'also' kommt in vielen Texten vor.
alt,,add English meaning,Dieses Wort heißt 'alt'.
Alter,das,add English meaning,Wir sind etwa im gleichen Alter.
alternativ,,add English meaning,Wir brauchen alternative Energien.
Alternative,die,add English meaning,-n Auf dieser Strecke ist der Zug eine gute Alternative zum Flugzeug. Dort an der Ampel kannst du über die Straße gehen.
Ampel,die,add English meaning,Die Ampel kommt in der Prüfung vor.
Amt,das,add English meaning,Das Arbeitsamt befindet sich neben dem Busbahnhof.
sich amüsieren,,add English meaning,Bei dem Fest haben wir uns sehr gut amüsiert.
an,,add English meaning,Am Anfang war alles sehr schwierig.
analysieren,,add English meaning,Die Politiker analysieren die Situation auf dem Arbeitsmarkt.
anbieten,,add English meaning,Ich wiederhole heute 'anbieten'.
Anbieter,der,add English meaning,Ich habe in der Zeitung ein paar günstige Wohnungsangebote gelesen.
anderandererseits,,add English meaning,Die anderen sind schon nach Hause gegangen.
ändern,,to change,Das Wetter hat sich geändert.
Änderung,die,change,Es gibt eine Programmänderung.
anders,,add English meaning,Anders geht das leider nicht.
anerkennen,,add English meaning,Meine Ausbildung wird hier nicht anerkannt.
anfangen,,to begin,Wann fängst du mit der Arbeit an?
Anfang,der,beginning,Der Anfang ist heute wichtig.
anfangs,,add English meaning,Anfangs ging alles gut.
angeben,,add English meaning,Bitte geben Sie Ihre genaue Adresse an.
Angabe,die,add English meaning,"Wir brauchen von Ihnen folgende Angaben: Name, Adresse, Geburtsdatum."
Angehörige,der,add English meaning,Der Angehörige passt gut zu diesem Thema.
Angehörige,die,add English meaning,Die Angehörige ist heute wichtig.
angenehm,,add English meaning,Wir wünschen Ihnen eine angenehme Reise.
Angst,die,fear,Du brauchst keine Angst zu haben. Der Hund tut dir nichts.
ängstlich,,add English meaning,'ängstlich' kommt in vielen Texten vor.
anhaben,,add English meaning,Gestern hatte Julia ein rotes Kleid an.
anklicken,,add English meaning,Du musst das Bild anklicken. Dann wird es größer.
ankommen,,to arrive,Wann kommt der Zug in Hamburg an?
Ankunft,die,arrival,"Die Abfahrt ist um 55 Uhr, die Ankunft um 07 Uhr."
ankündigen,,add English meaning,Wir sollten unseren Besuch ankündigen.
Anlage,die,add English meaning,Meine Musikanlage ist kaputt.
Anleitung,die,add English meaning,"In der Anleitung steht, dass bei diesem Spiel der Älteste beginnt."
anmelden,,to register,Für diesen Kurs müssen Sie sich unbedingt vorher anmelden.
Anmeldung,die,registration,Wo bekomme ich die Formulare für die Anmeldung?
annehmen,,add English meaning,Ich nehme Ihre Einladung gern an.
Annonce,die,add English meaning,"Ich habe alle Annoncen gelesen, aber die Wohnungen sind zu teuer."
Anrede,die,add English meaning,Du darfst im Brief die Anrede nicht vergessen.
anrufen,,to call,Ich rufe Sie heute Abend an.
Anruf,der,phone call,-e Ich warte auf einen Anruf aus Berlin. Ich habe dir eine Nachricht auf den Anrufbeantworter gesprochen. Achten Sie auf die Ansage am Bahnsteig.
Anrufbeantworter,der,add English meaning,Der Anrufbeantworter ist ein nützliches Wort.
anschaffen,,add English meaning,Wir haben uns neue Möbel angeschafft.
anschließen,,add English meaning,Wo kann ich den Computer anschließen?
Anschluss,der,add English meaning,In Mannheim haben Sie Anschluss nach Saarbrücken.
anschnallen,,add English meaning,"Vergiss nicht, dich anzuschnallen."
ansehen,,add English meaning,Warum siehst du mich so erschrocken an?
ansprechen,,add English meaning,Gestern hat mich unsere neue Nachbarin im Treppenhaus angesprochen.
Anspruch,der,add English meaning,Sie wohnen im Stadtzentrum. Deshalb haben Sie keinen Anspruch auf Fahrgeld.
anstellen,,add English meaning,Können Sie bitte die Heizung anstellen?
Angestellte,der,add English meaning,Der Angestellte kommt in der Prüfung vor.
Angestellte,die,add English meaning,Die Angestellte ist ein nützliches Wort.
sich anstrengen,,add English meaning,Diese Arbeit strengt mich sehr an.
sich an,,add English meaning,"Wenn du die Prüfung schaffen willst, musst du dich mehr anstrengen."
anstrengend,,add English meaning,Ich finde diese Arbeit sehr anstrengend.
Antrag,der,add English meaning,Haben Sie schon einen Antrag für das Wohngeld ausgefüllt?
anwenden,,add English meaning,Diese Salbe muss man dreimal am Tag anwenden.
anwesend,,add English meaning,Bei dem Treffen waren alle Mitglieder anwesend.
antworten,,add English meaning,Jorge hat seit drei Wochen nicht auf meinen Brief geantwortet.
Antwort,die,add English meaning,Leider habe ich keine Antwort bekommen.
Anwalt,der,add English meaning,Der Anwalt kommt in der Prüfung vor.
Anwältin,die,add English meaning,möchte zuerst mit meinem Anwalt sprechen.
anzeigen,,add English meaning,"Wenn Sie hier parken, zeige ich Sie an."
Anzeige,die,add English meaning,"Ich habe alle Anzeigen gelesen, aber die Wohnungen sind zu teuer."
Anzug,der,add English meaning,Mein Mann hat sich einen neuen Anzug gekauft.
Apartment,das,add English meaning,Wir haben ein Ferienapartment gemietet.
Apfel,der,add English meaning,Zum Frühstück esse ich jeden Tag einen Apfel. Ist hier in der Nähe eine Apotheke?
Apparat,der,add English meaning,Können Sie den Apparat bitte etwas leiser stellen?
Appetit,der,add English meaning,Ich habe heute keinen Appetit. Ich mag nichts essen.
arbeiten,,to work,Er arbeitet heute bis 16 Uhr.
Arbeit,die,work,Wie gefällt dir deine Arbeit?
Arbeiter,der,add English meaning,Maria ist seit zwei Jahren Arbeiterin bei Siemens.
Arbeitserlaubnis,die,add English meaning,Haben Sie eine Arbeitserlaubnis?
arbeitslos,,add English meaning,Wie lange sind Sie schon arbeitslos?
Arbeitslosigkeit,die,add English meaning,Die Arbeitslosigkeit ist gesunken.
Arbeitsplatz,der,add English meaning,In der Industrie gibt es immer weniger Arbeitsplätze.
Arbeitsstelle,die,add English meaning,Die Arbeitsstelle ist ein nützliches Wort.
Architekt,der,add English meaning,Der Architekt passt gut zu diesem Thema.
Architektin,die,add English meaning,Ärgern Sie sich nicht.
Ärger,der,add English meaning,Ich hatte heute Ärger im Büro. Ich habe mich mit einem Kollegen gestritten.
ärgerlich,,add English meaning,Der Zug hat schon wieder Verspätung. Das ist wirklich ärgerlich.
arm,,add English meaning,Die Regierung hilft armen Nachbarländern.
Arm,der,add English meaning,Mein Freund hat sich den Arm gebrochen.
Art,die,add English meaning,Im Zoo haben sie 34 verschiedene Arten von Vögeln.
Artikel,der,add English meaning,Ich habe einen interessanten Artikel gelesen.
Ärztin,die,doctor,Wann warst du beim Zahnarzt?
Asyl,das,add English meaning,Die Menschen sind auf der Flucht und bitten um Asyl.
atmen,,add English meaning,Er hat eine Erkältung und kann nicht durch die Nase atmen.
Atem,der,add English meaning,Bitte den Atem anhalten.
auch,,also; too,Ich muss leider gehen. – Ich auch.
auf,,on; at; open,aufgegeben. Man darf nie aufgeben. Es gibt immer eine Hoffnung.
Aufenthalt,der,add English meaning,Der Zug hat in München nur 20 Minuten Aufenthalt.
auffallen,,add English meaning,"Mir ist aufgefallen, dass Harriett ganz n blass ist."
auffordern,,add English meaning,"Sie forderte mich auf, meine Meinung zu sagen."
Aufforderung,die,add English meaning,"-en Sie erhalten eine Aufforderung, den Betrag bis Juni zu zahlen. Die Kinder führen zu Weihnachten ein rt Theaterstück auf."
aufführen,,add English meaning,Ich wiederhole heute 'aufführen'.
Aufgabe,die,task,Hast du deine Hausaufgaben für die Schule schon gemacht?
aufgeben,,add English meaning,Dieses Verb heißt 'aufgeben'.
aufhalten,,add English meaning,Ich übe das Verb 'aufhalten'.
aufheben,,add English meaning,"Lassen Sie die Papiere nur auf dem Boden liegen, ich hebe sie schon auf."
aufhören,,to stop,Es hört nicht auf zu schneien.
aufladen,,add English meaning,"auf, Ich muss mein Telefon aufladen. Die Batterie ist leer."
auflösen,,add English meaning,Die Tablette bitte in Wasser auflösen.
aufmerksam,,add English meaning,Die Schülerin hörte aufmerksam zu.
aufnehmen,,add English meaning,Wir haben Aneta in unseren Verein aufgenommen.
Aufnahme,die,add English meaning,Die Aufnahme kommt in der Prüfung vor.
aufpassen,,to pay attention,Tut mir leid. Da habe ich wohl nicht aufgepasst.
aufräumen,,to tidy up,Vor meinem Urlaub muss ich unbedingt noch meinen Schreibtisch aufräumen.
aufregen,,add English meaning,"Es regt mich auf, dass ich schon wieder Überstunden machen muss."
aufstehen,,add English meaning,Ich stehe jeden Morgen um sechs Uhr auf.
Auftrag,der,add English meaning,Ich komme im Auftrag von Frau Müller und soll Ihnen diesen Brief geben.
auftreten,,add English meaning,Nächste Woche tritt in der Stadthalle eine berühmte Musikgruppe auf.
Auftritt,der,add English meaning,Nach dem Auftritt feiern die Musiker.
aufwachen,,add English meaning,Von dem Lärm bin ich aufgewacht.
aufwärts,,add English meaning,Sie müssen gute Schuhe anziehen. Der Weg geht immer aufwärts.
Auge,das,add English meaning,Meine beiden Kinder haben blaue Augen.
Augenblick,der,add English meaning,Ich wollte gerade parken. In dem Augenblick ist ein Wagen aus der Ausfahrt gekommen.
aus,,from; out of,Frau Müller geht jeden Morgen um 8 Uhr aus dem Haus.
Ausbildung,die,training,Ich habe meine Ausbildung abgeschlossen.
ausgebildet,,add English meaning,Ich kann 'ausgebildet' in einem Satz benutzen.
ausdrucken,,add English meaning,Kann ich das auf deinem Drucker ausdrucken?
Ausdruck,der,add English meaning,Der Ausdruck ist ein nützliches Wort.
auseinander,,add English meaning,Ich wiederhole heute 'auseinander'.
Ausfahrt,die,add English meaning,"Hier ist eine Ausfahrt, da dürfen Sie nicht parken."
ausfallen,,add English meaning,Nächste Woche fällt der Kurs aus.
Ausflug,der,excursion,Am Wochenende machen wir mit Freunden einen Ausflug nach Heidelberg.
ausfüllen,,to fill out,Füllen Sie bitte dieses Formular aus!
Ausgabe,die,edition; expense,Wie hoch sind Ihre Ausgaben in einem Monat?
Ausgang,der,add English meaning,Wo ist der Ausgang bitte?
ausgeben,,to spend,Carola gibt viel Geld für ihr Hobby aus.
ausgehen,,to go out,Plötzlich ist das Licht ausgegangen.
ausgezeichnet,,add English meaning,Essen und Unterkunft waren ausgezeichnet.
Aushilfe,die,add English meaning,Wir suchen eine freundliche Aushilfe für unser Geschäft.
Auskunft,die,information,Ich hätte gern eine Auskunft.
Ausland,das,add English meaning,Das Ausland steht auf meiner Liste.
Ausländer,der,add English meaning,Viele Ausländer und Ausländerinnen lernen in der Volkshochschule Deutsch.
ausländisch,,add English meaning,Die ausländischen Studenten müssen zuerst einen Deutschkurs besuchen.
ausmachen,,to turn off; to arrange,Sie müssen leider warten. – Kein Problem. Das macht mir nichts aus.
Ausnahme,die,add English meaning,Normalerweise muss ich am Wochenende arbeiten. Aber heute ist eine Ausnahme.
ausreichen,,to be enough,Das Geld muss bis März ausreichen.
ausreichend,,add English meaning,Das Geld ist für die Reise ausreichend.
ausrichten,,add English meaning,Sie ruhen sich von der Arbeit aus.
ausschließen,,add English meaning,Das kann man nicht ganz ausschließen.
ausschließlich,,add English meaning,Tut mir leid. Wir haben ausschließlich Nichtraucherzimmer.
aussehen,,to look,Sie sehen wieder besser aus. Sind Sie wieder gesund?
außen,,add English meaning,Wir haben das Schloss nur von außen gesehen.
außerhalb,,add English meaning,Wir wohnen außerhalb von Berlin.
äußerlich,,add English meaning,Das Medikament dürfen Sie nur äußerlich anwenden.
außer,,add English meaning,Außer Lisa hat sich niemand um die Stelle beworben.
außerdem,,besides; additionally,Möchten Sie außerdem noch etwas?
Aussicht,die,add English meaning,Von diesem Turm hat man eine tolle Aussicht.
aussprechen,,add English meaning,Wie spricht man dieses Wort aus?
Aussprache,die,add English meaning,Die Aussprache passt gut zu diesem Thema.
ausstellen,,add English meaning,Im Schaufenster sind Winterschuhe ausgestellt.
Ausstellung,die,add English meaning,Wir waren mit der Lehrerin in einer Ausstellung.
auswählen,,to choose,Für die Aufgabe können Sie aus drei Themen auswählen.
Auswahl,die,selection,Wir müssen eine Auswahl aus den Büchern treffen.
Ausweis,der,ID card,Der Ausweis passt gut zu diesem Thema.
ausziehen,,add English meaning,Willst du den Mantel nicht ausziehen?
Auto,das,car,Mario fährt mit dem Auto zur Arbeit.
Autobahn,die,add English meaning,n Das Dorf liegt direkt an der Autobahn.
Automat,der,add English meaning,Zigaretten bekommst du am Automaten.
automatisch,,add English meaning,Dieses Wort heißt 'automatisch'.
Autor,der,add English meaning,Der Autor ist heute wichtig.
Autorin,die,add English meaning,zwei Bücher geschrieben.
backen,,add English meaning,"Wenn du kommst, backe ich einen Kuchen."
Bäckerei,die,add English meaning,Wir kaufen unser Brot immer in der Bäckerei am Markt.
baden,,add English meaning,Dieses Verb heißt 'baden'.
gebadet,,add English meaning,Badezimmer ist dort hinten links. Hier ist Baden verboten!
Bad,das,add English meaning,Nach einem warmen Bad fühlt man sich gleich viel besser. Ich möchte ein Zimmer mit Bad.
Badewanne,die,add English meaning,Nach einem langen Arbeitstag setzte sie sich in die Badewanne.
Bahn,die,add English meaning,Ich komme mit der Bahn. Die S-Bahn ist schneller als die Straßenbahn.
Straßenbahn,die,add English meaning,Nehmen Sie die Straßenbahn Nr.
U-Bahn,die,add English meaning,Die letzte U-Bahn geht um 15 Uhr.
Bahnhof,der,add English meaning,Ich bringe Sie zum Bahnhof.
Bahnsteig,der,add English meaning,Auf Hauptbahnhöfen gibt es meist viele Bahnsteige.
bald,,add English meaning,Besuchen Sie uns doch bald mal.
Balkon,der,add English meaning,Die Wohnung hat auch einen kleinen Balkon.
Ball,der,add English meaning,Ich spiele gern mit meinen Kindern Ball.
Ballett,das,add English meaning,Meine Tochter möchte gern Ballett tanzen.
Banane,die,add English meaning,"1 Kilo Bananen, bitte."
Bank,die,add English meaning,"Kommt, wir setzen uns auf die Bank da vorne."
Bancomat/Bankomat,der,add English meaning,Ich hole noch schnell Geld vom Bankomaten.
Bankleitzahl,die,add English meaning,Bitte geben Sie Ihre Bankleitzahl an.
Bankomat-Karte,die,add English meaning,Sie können auch mit Bankomat-Karte te zahlen.
Bar,die,add English meaning,Setzen wir uns doch an die Bar!
bar,,add English meaning,'bar' kommt in vielen Texten vor.
Bargeld,das,add English meaning,Ich habe kein Bargeld mehr.
Bart,der,add English meaning,John trägt jetzt einen Bart.
Basketball,der,add English meaning,Sie spielt sehr gern Basketball.
basteln,,add English meaning,Die Kinder basteln ein Vogelhaus.
Batterie,die,add English meaning,Bringst du bitte Batterien für die Kamera mit?
Bauch,der,add English meaning,Mir tut der Bauch weh.
bauen,,add English meaning,Mein Nachbar hat ein Haus gebaut.
Bau,der,add English meaning,Ich wohne in einer Neubauwohnung.
Baustelle,die,add English meaning,Wir müssen die Baustelle umfahren.
Bauer,der,add English meaning,Wir kaufen unser Gemüse beim Bauern.
Baum,der,add English meaning,Wir haben zwei Bäume im Garten.
beachten,,add English meaning,Bitte beachten Sie die Ansagen am Bahnsteig.
Beamte,der,add English meaning,Meine Frau ist Beamtin bei der Polizei.
Beamtin,die,add English meaning,Die Beamtin kommt in der Prüfung vor.
beantragen,,add English meaning,Hast du schon einen neuen Pass beantragt?
beantworten,,add English meaning,Sie haben meine Frage leider nicht beantwortet.
sich bedanken,,add English meaning,Ich möchte mich noch einmal sehr herzlich für Ihre Hilfe bedanken.
Bedarf,der,add English meaning,An diesem Produkt besteht großer Bedarf.
bedeuten,,add English meaning,Was bedeutet dieses Wort?
Bedeutung,die,add English meaning,Die Bedeutung ist ein nützliches Wort.
bedienen,,add English meaning,Werden Sie schon bedient?
Bedienungsanleitung,die,add English meaning,Die Bedienungsanleitung verstehe ich nicht.
Bedingung,die,add English meaning,"Wenn Sie unsere Bedingungen akzeptieren, können wir einen Vertrag machen."
sich beeilen,,add English meaning,Wir müssen uns beeilen. Sonst verpassen wir den Zug.
beenden,,add English meaning,Du musst deine Ausbildung auf jeden Fall beenden.
sich befinden,,add English meaning,Das Bord-Bistro befindet sich in der Mitte des Zuges.
befreit,,add English meaning,Studenten und Studentinnen sind von den Rundfunk-Gebühren befreit.
befriedigend,,add English meaning,Das Ergebnis ist befriedigend.
begegnen,,add English meaning,Sind wir uns nicht schon mal irgendwann begegnet?
begeistert,,add English meaning,Es war ein tolles Konzert. Ich bin begeistert.
beginnen,,add English meaning,In zwei Wochen beginnen die Sommerferien.
Beginn,der,add English meaning,Zu Beginn der Stunde begrüßt die Lehrerin ihre Schüler.
begleiten,,add English meaning,Ich begleite dich ein Stück.
begrenzt,,add English meaning,Die Teilnehmerzahl ist auf 12 begrenzt.
begründen,,add English meaning,Bitte begründen Sie Ihre Meinung.
Begründung,die,add English meaning,Die Miete wurde ohne Begründung erhöht.
begrüßen,,add English meaning,Der Gastgeber begrüßt seine Gäste.
behalten,,add English meaning,Darf ich die Zeitschrift behalten?
behandeln,,add English meaning,Welcher Arzt hat Sie bis jetzt behandelt?
behaupten,,add English meaning,"Er behauptet, unsere Meinung sei nicht wichtig."
behindern,,add English meaning,"Bitte parken Sie so, dass Sie niemanden behindern."
behindert,,add English meaning,Seit dem Unfall ist das Kind unserer Freunde behindert.
Behörde,die,add English meaning,Sie erhalten ein Schreiben von der zuständigen Behörde.
bei,,add English meaning,Potsdam liegt bei Berlin.
beiddas Bein,,add English meaning,Beide waren mit meinem Vorschlag einverstanden.
beinahe,,add English meaning,Ich habe heute beinahe den Bus verpasst.
Beispiel,das,add English meaning,Können Sie mir ein Beispiel sagen?
beißen,,add English meaning,"Pass auf, dass dich der Hund nicht beißt!"
Beitrag,der,add English meaning,Die Krankenkasse hat die Beiträge erhöht.
bekannt,,add English meaning,Ein Onkel von mir ist ein bekannter Politiker.
Bekannte,der,add English meaning,Der Bekannte passt gut zu diesem Thema.
Bekannte,die,add English meaning,Die Bekannte ist heute wichtig.
bekannt geben,,add English meaning,Das Verb 'bekannt geben' ist wichtig.
bekannt gegeben,,add English meaning,'bekannt gegeben' kommt in vielen Texten vor.
bekommen,,add English meaning,Haben Sie meinen Brief bekommen?
Beleg,der,add English meaning,Brauchen Sie einen Beleg?
beleidigen,,add English meaning,Ich wollte Sie nicht beleidigen.
beliebt,,add English meaning,Dieses Spiel ist bei Jugendlichen sehr beliebt.
bemerken,,add English meaning,"Ich habe nicht bemerkt, dass das Fenster offen ist."
sich bemühen,,add English meaning,"Er hat sich sehr bemüht, etwas Gutes zu kochen."
benötigen,,add English meaning,"Sagen Sie Bescheid, wenn Sie noch etwas benötigen."
benutzen,,add English meaning,Benutzen Sie bitte die öffentlichen Verkehrsmittel.
Benzin,das,add English meaning,Das Benzin soll wieder teurer werden.
beobachten,,add English meaning,Wer hat den Unfall beobachtet?
bequem,,add English meaning,Meine Kinder ziehen am liebsten bequeme Sachen an.
beraten,,add English meaning,"Unser Personal berät Sie gern, wenn Sie Fragen haben."
Beratung,die,add English meaning,Beratungen für Familien gibt es jeden Dienstag zwischen 14 und 16 Uhr.
berechnen,,add English meaning,Die Kosten für die Fahrt müssen erst berechnet werden.
Bereich,der,add English meaning,In welchem Bereich möchten Sie arbeiten?
bereit,,add English meaning,"Ich bin jederzeit bereit, dir zu helfen."
bereits,,add English meaning,Bitte melde dich bei Frau Kaiser. Sie hat bereits dreimal angerufen.
Berg,der,add English meaning,Die Zugspitze ist der höchste Berg in Deutschland.
berichten,,add English meaning,Alle Zeitungen haben über den Unfall berichtet.
Bericht,der,add English meaning,Ich habe gestern einen interessanten Bericht gelesen.
Beruf,der,add English meaning,Was sind Sie von Beruf?
beruflich,,add English meaning,Was machen Sie beruflich?
berufstätig,,add English meaning,Sind Sie berufstätig?
beruhigen,,add English meaning,Beruhigen Sie sich bitte. Es ist alles in Ordnung.
berühmt,,add English meaning,Michael Schumacher ist ein berühmter Rennfahrer.
beschädigen,,add English meaning,"Bitte machen Sie eine Liste davon, was die Einbrecher beschädigt haben."
beschäftigen,,add English meaning,Womit haben Sie sich bei Ihrer Arbeit beschäftigt?
Beschäftigung,die,add English meaning,"Ich suche eine Halbtagsbeschäftigung, weil ich ein kleines Kind habe."
Bescheid,der,add English meaning,Den endgültigen Bescheid erhalten Sie in etwa vier Wochen. Ich erkundige mich nach den Terminen und sage Ihnen dann Bescheid. Kannst du mir bis morgen Bescheid geben?
beschließen,,add English meaning,"Wir haben beschlossen, uns ein kleineres Auto zu kaufen."
beschränken,,add English meaning,Die Teilnehmerzahl für den Kurs ist beschränkt.
beschreiben,,add English meaning,Kannst du mir den Weg zum Flughafen beschreiben?
Beschreibung,die,add English meaning,Eine Beschreibung des Geräts liegt bei.
sich beschweren,,add English meaning,Ich übe das reflexive Verb 'beschweren'.
besetzen,,add English meaning,Dieser Platz ist besetzt.
besichtigen,,add English meaning,Im Urlaub haben wir Schloss Schönbrunn besichtigt.
besitzen,,add English meaning,Besitzt Ihre Frau ein eigenes Auto?
besonderbesonders,,add English meaning,Ich habe heute ein besonders günstiges Angebot gesehen.
besorgen,,add English meaning,Soll ich die Eintrittskarten besorgen?
besprechen,,add English meaning,"Wir müssen noch genau besprechen, wann wir losfahren und was wir mitnehmen."
Besprechung,die,add English meaning,"Tut mir leid, Herr Schmidt ist noch in einer Besprechung."
Besserung,die,add English meaning,Die Besserung passt gut zu diesem Thema.
bestätigen,,add English meaning,Die Firma hat mir den Termin schriftlich bestätigt.
Bestätigung,die,add English meaning,Ich brauche eine schriftliche Bestätigung für das Amt.
bestehen,,add English meaning,Das Modul Lesen besteht aus fünf Teilen.
bestellen,,add English meaning,Wir haben Pizza bestellt.
bestimmt,,add English meaning,Das hat Nancy bestimmt nicht so gemeint.
bestrafen,,add English meaning,Zu schnelles Fahren wird streng bestraft.
besuchen,,add English meaning,Besuchen Sie uns doch mal.
Besuch,der,add English meaning,Wir bekommen Besuch.
sich beteiligen,,add English meaning,Wir wollen unserer Lehrerin ein Geschenk kaufen. Wer möchte sich beteiligen?
Betrag,der,add English meaning,Bitte überweisen Sie den Betrag auf unser Konto.
betreuen,,add English meaning,Wer betreut bei Ihnen die Kinder?
Betreuer,der,add English meaning,", Die Betreuerin der Kinder ist sehr nett."
Betreuung,die,add English meaning,Die Betreuung kommt in der Prüfung vor.
Betrieb,der,add English meaning,In diesem Betrieb arbeiten zehn Leute.
Betriebsrat,der,add English meaning,Der Betriebsrat passt gut zu diesem Thema.
Betriebsrätin,die,add English meaning,neuen Arbeitszeiten informieren.
betrügen,,add English meaning,Ich würde meine Familie niemals betrügen.
betrunken,,add English meaning,"Wenn Sie betrunken Auto fahren, verlieren Sie Ihren Führerschein."
Bett,das,add English meaning,Wir wollten uns neue Betten kaufen.
Bevölkerung,die,add English meaning,11 % der Bevölkerung wurden nicht im Inland geboren.
bevor,,add English meaning,"Bevor wir gehen, möchte ich noch etwas essen."
bewegen,,add English meaning,Ich kann mich vor Schmerzen kaum noch bewegen.
Bewegung,die,add English meaning,Sie brauchen mehr Bewegung. Sie müssen regelmäßig spazieren gehen.
beweisen,,add English meaning,"Wir können beweisen, dass Sie bei Rot über die Ampel gefahren sind."
Beweis,der,add English meaning,Ich habe mich um diese Stelle beworben.
sich bewerben,,add English meaning,Ich übe das reflexive Verb 'bewerben'.
Bewerbung,die,add English meaning,Wohin soll ich meine Bewerbung schicken?
Bewohner,der,add English meaning,Ich kenne die anderen Hausbewohner nicht.
bezahlen,,add English meaning,Hast du die Rechnung schon bezahlt?
Beziehung,die,add English meaning,Wir haben gute Beziehungen zu unseren Nachbarn.
Bibliothek,die,add English meaning,Die Stadtbibliothek hat bereits geschlossen.
Bier,das,add English meaning,Das Bier steht auf meiner Liste.
bieten,,add English meaning,Er hat mir für den alten Wagen noch 800 Euro geboten.
Bild,das,add English meaning,Ein Bild von meinen Kindern hängt über meinem Schreibtisch.
Bildschirm,der,add English meaning,Ich brauche einen größeren Bildschirm für meinen Computer.
Billett,das,add English meaning,"D, A:Ein Billett können Sie am Schalter kaufen."
billig,,add English meaning,Dieses Buch ist nicht ganz billig.
Biologie bio,die,add English meaning,Die Biologie bio kommt in der Prüfung vor.
Birne,die,add English meaning,Möchten Sie Obst? Die Birnen sind heute besonders schön.
bis,,add English meaning,Die Linie 8 fährt nur bis zum Hauptbahnhof.
