word,article,english,example
alle,,all,Sind alle Kinder da?
aller-,,very; most of all,"Am allerbesten ist es, wenn du dich ins Bett legst und lange schläfst."
allgemein,,general,Wir haben nur über allgemeine Probleme gesprochen.
Alltag,der,everyday life,"Das ist mein Alltag: putzen, waschen, kochen."
alltäglich,,everyday; ordinary,'alltäglich' kommt in vielen Texten vor.
Alphabet,das,alphabet,Wie viele Buchstaben hat das Alphabet in Ihrer Sprache?
als,,when; as; than,"Als mein Mann kam, war die Party schon zu Ende."
als ob,,as if,Ich kann 'als ob' in einem Satz benutzen.
also,,so; therefore,'also' kommt in vielen Texten vor.
alt,,old,Dieses Wort heißt 'alt'.
Alter,das,age,Wir sind etwa im gleichen Alter.
alternativ,,alternative,Wir brauchen alternative Energien.
Alternative,die,alternative,Auf dieser Strecke ist der Zug eine gute Alternative zum Flugzeug.
Ampel,die,traffic light,Die Ampel kommt in der Prüfung vor.
Amt,das,office; government office,Das Arbeitsamt befindet sich neben dem Busbahnhof.
sich amüsieren,,to enjoy oneself; to have fun,Bei dem Fest haben wir uns sehr gut amüsiert.
an,,at; on; to,Am Anfang war alles sehr schwierig.
analysieren,,to analyze,Die Politiker analysieren die Situation auf dem Arbeitsmarkt.
anbieten,,to offer,Ich wiederhole heute 'anbieten'.
Anbieter,der,provider; supplier,Ich habe in der Zeitung ein paar günstige Wohnungsangebote gelesen.
ander-,,other; different,Die anderen sind schon nach Hause gegangen.
ändern,,to change,Das Wetter hat sich geändert.
Änderung,die,change,Es gibt eine Programmänderung.
anders,,different; otherwise,Anders geht das leider nicht.
anerkennen,,to recognize; to acknowledge,Meine Ausbildung wird hier nicht anerkannt.
anfangen,,to begin,Wann fängst du mit der Arbeit an?
Anfang,der,beginning,Der Anfang ist heute wichtig.
anfangs,,at first; initially,Anfangs ging alles gut.
angeben,,to state; to provide,Bitte geben Sie Ihre genaue Adresse an.
Angabe,die,information; detail,"Wir brauchen von Ihnen folgende Angaben: Name, Adresse, Geburtsdatum."
Angehörige,der,male relative; family member,Der Angehörige passt gut zu diesem Thema.
Angehörige,die,female relative; family member,Die Angehörige ist heute wichtig.
angenehm,,pleasant,Wir wünschen Ihnen eine angenehme Reise.
Angst,die,fear,Du brauchst keine Angst zu haben. Der Hund tut dir nichts.
ängstlich,,anxious; fearful,'ängstlich' kommt in vielen Texten vor.
anhaben,,to have on; to wear,Gestern hatte Julia ein rotes Kleid an.
anklicken,,to click on,Du musst das Bild anklicken. Dann wird es größer.
ankommen,,to arrive,Wann kommt der Zug in Hamburg an?
Ankunft,die,arrival,"Die Abfahrt ist um 55 Uhr, die Ankunft um 07 Uhr."
ankündigen,,to announce,Wir sollten unseren Besuch ankündigen.
Anlage,die,system; facility,Meine Musikanlage ist kaputt.
Anleitung,die,instructions; guide,"In der Anleitung steht, dass bei diesem Spiel der Älteste beginnt."
anmelden,,to register,Für diesen Kurs müssen Sie sich unbedingt vorher anmelden.
Anmeldung,die,registration,Wo bekomme ich die Formulare für die Anmeldung?
annehmen,,to accept; to assume,Ich nehme Ihre Einladung gern an.
Annonce,die,advertisement; classified ad,"Ich habe alle Annoncen gelesen, aber die Wohnungen sind zu teuer."
Anrede,die,salutation; form of address,Du darfst im Brief die Anrede nicht vergessen.
anrufen,,to call,Ich rufe Sie heute Abend an.
Anruf,der,phone call,Ich warte auf einen Anruf aus Berlin.
Anrufbeantworter,der,answering machine,Der Anrufbeantworter ist ein nützliches Wort.
anschaffen,,to acquire; to buy,Wir haben uns neue Möbel angeschafft.
anschließen,,to connect,Wo kann ich den Computer anschließen?
Anschluss,der,connection; transfer,In Mannheim haben Sie Anschluss nach Saarbrücken.
anschnallen,,to fasten a seat belt,"Vergiss nicht, dich anzuschnallen."
ansehen,,to look at,Warum siehst du mich so erschrocken an?
ansprechen,,to address; to speak to,Gestern hat mich unsere neue Nachbarin im Treppenhaus angesprochen.
Anspruch,der,claim; entitlement,Sie wohnen im Stadtzentrum. Deshalb haben Sie keinen Anspruch auf Fahrgeld.
anstellen,,to turn on; to employ,Können Sie bitte die Heizung anstellen?
Angestellte,der,employee,Der Angestellte kommt in der Prüfung vor.
Angestellte,die,female employee,Die Angestellte ist ein nützliches Wort.
sich anstrengen,,to make an effort; to strain oneself,Diese Arbeit strengt mich sehr an.
sich anstrengen,,to make an effort,"Wenn du die Prüfung schaffen willst, musst du dich mehr anstrengen."
anstrengend,,strenuous; tiring,Ich finde diese Arbeit sehr anstrengend.
Antrag,der,application; request,Haben Sie schon einen Antrag für das Wohngeld ausgefüllt?
anwenden,,to apply; to use,Diese Salbe muss man dreimal am Tag anwenden.
anwesend,,present; in attendance,Bei dem Treffen waren alle Mitglieder anwesend.
antworten,,to answer,Jorge hat seit drei Wochen nicht auf meinen Brief geantwortet.
Antwort,die,answer,Leider habe ich keine Antwort bekommen.
Anwalt,der,lawyer,Der Anwalt kommt in der Prüfung vor.
Anwältin,die,female lawyer,Ich möchte zuerst mit meiner Anwältin sprechen.
anzeigen,,to report; to display,"Wenn Sie hier parken, zeige ich Sie an."
Anzeige,die,advertisement; ad,"Ich habe alle Anzeigen gelesen, aber die Wohnungen sind zu teuer."
Anzug,der,suit,Mein Mann hat sich einen neuen Anzug gekauft.
Apartment,das,apartment,Wir haben ein Ferienapartment gemietet.
Apfel,der,apple,Zum Frühstück esse ich jeden Tag einen Apfel.
Apparat,der,device; apparatus,Können Sie den Apparat bitte etwas leiser stellen?
Appetit,der,appetite,Ich habe heute keinen Appetit. Ich mag nichts essen.
arbeiten,,to work,Er arbeitet heute bis 16 Uhr.
Arbeit,die,work,Wie gefällt dir deine Arbeit?
Arbeiter,der,worker,Maria ist seit zwei Jahren Arbeiterin bei Siemens.
Arbeitserlaubnis,die,work permit,Haben Sie eine Arbeitserlaubnis?
arbeitslos,,unemployed,Wie lange sind Sie schon arbeitslos?
Arbeitslosigkeit,die,unemployment,Die Arbeitslosigkeit ist gesunken.
Arbeitsplatz,der,workplace; job,In der Industrie gibt es immer weniger Arbeitsplätze.
Arbeitsstelle,die,job; position,Die Arbeitsstelle ist ein nützliches Wort.
Architekt,der,architect,Der Architekt passt gut zu diesem Thema.
Architektin,die,architect,Ärgern Sie sich nicht.
Ärger,der,trouble; annoyance; anger,Ich hatte heute Ärger im Büro. Ich habe mich mit einem Kollegen gestritten.
ärgerlich,,annoying; irritating,Der Zug hat schon wieder Verspätung. Das ist wirklich ärgerlich.
arm,,poor,Die Regierung hilft armen Nachbarländern.
Arm,der,arm,Mein Freund hat sich den Arm gebrochen.
Art,die,kind; type; species,Im Zoo haben sie 34 verschiedene Arten von Vögeln.
Artikel,der,article,Ich habe einen interessanten Artikel gelesen.
Ärztin,die,doctor,Wann warst du beim Zahnarzt?
Asyl,das,asylum,Die Menschen sind auf der Flucht und bitten um Asyl.
atmen,,to breathe,Er hat eine Erkältung und kann nicht durch die Nase atmen.
Atem,der,breath,Bitte den Atem anhalten.
auch,,also; too,Ich muss leider gehen. – Ich auch.
auf,,on; at; open,aufgegeben. Man darf nie aufgeben. Es gibt immer eine Hoffnung.
Aufenthalt,der,stay; stopover,Der Zug hat in München nur 20 Minuten Aufenthalt.
auffallen,,to stand out; to notice,"Mir ist aufgefallen, dass Harriett ganz n blass ist."
auffordern,,to ask; to request; to urge,"Sie forderte mich auf, meine Meinung zu sagen."
Aufforderung,die,request; demand; prompt,"Sie erhalten eine Aufforderung, den Betrag bis Juni zu zahlen."
aufführen,,to perform; to stage,Ich wiederhole heute 'aufführen'.
Aufgabe,die,task,Hast du deine Hausaufgaben für die Schule schon gemacht?
aufgeben,,to give up; to hand in; to post,Dieses Verb heißt 'aufgeben'.
aufhalten,,to stop; to delay; to stay,Ich übe das Verb 'aufhalten'.
aufheben,,to pick up; to keep,"Lassen Sie die Papiere nur auf dem Boden liegen, ich hebe sie schon auf."
aufhören,,to stop,Es hört nicht auf zu schneien.
aufladen,,to charge; to load,"auf, Ich muss mein Telefon aufladen. Die Batterie ist leer."
auflösen,,to dissolve; to resolve,Die Tablette bitte in Wasser auflösen.
aufmerksam,,attentive,Die Schülerin hörte aufmerksam zu.
aufnehmen,,to accept; to record; to take in,Wir haben Aneta in unseren Verein aufgenommen.
Aufnahme,die,recording; admission; intake,Die Aufnahme kommt in der Prüfung vor.
aufpassen,,to pay attention,Tut mir leid. Da habe ich wohl nicht aufgepasst.
aufräumen,,to tidy up,Vor meinem Urlaub muss ich unbedingt noch meinen Schreibtisch aufräumen.
aufregen,,to upset; to excite,"Es regt mich auf, dass ich schon wieder Überstunden machen muss."
aufstehen,,to get up,Ich stehe jeden Morgen um sechs Uhr auf.
Auftrag,der,order; assignment; commission,Ich komme im Auftrag von Frau Müller und soll Ihnen diesen Brief geben.
auftreten,,to appear; to perform,Nächste Woche tritt in der Stadthalle eine berühmte Musikgruppe auf.
Auftritt,der,appearance; performance,Nach dem Auftritt feiern die Musiker.
aufwachen,,to wake up,Von dem Lärm bin ich aufgewacht.
aufwärts,,upward,Sie müssen gute Schuhe anziehen. Der Weg geht immer aufwärts.
Auge,das,eye,Meine beiden Kinder haben blaue Augen.
Augenblick,der,moment; instant,Ich wollte gerade parken. In dem Augenblick ist ein Wagen aus der Ausfahrt gekommen.
aus,,from; out of,Frau Müller geht jeden Morgen um 8 Uhr aus dem Haus.
Ausbildung,die,training,Ich habe meine Ausbildung abgeschlossen.
ausgebildet,,trained; educated,Ich kann 'ausgebildet' in einem Satz benutzen.
ausdrucken,,to print out,Kann ich das auf deinem Drucker ausdrucken?
Ausdruck,der,expression; printout,Der Ausdruck ist ein nützliches Wort.
auseinander,,apart; separate,Ich wiederhole heute 'auseinander'.
Ausfahrt,die,exit; driveway,"Hier ist eine Ausfahrt, da dürfen Sie nicht parken."
ausfallen,,to be cancelled; to fail,Nächste Woche fällt der Kurs aus.
Ausflug,der,excursion,Am Wochenende machen wir mit Freunden einen Ausflug nach Heidelberg.
ausfüllen,,to fill out,Füllen Sie bitte dieses Formular aus!
Ausgabe,die,edition; expense,Wie hoch sind Ihre Ausgaben in einem Monat?
Ausgang,der,exit,Wo ist der Ausgang bitte?
ausgeben,,to spend,Carola gibt viel Geld für ihr Hobby aus.
ausgehen,,to go out,Plötzlich ist das Licht ausgegangen.
ausgezeichnet,,excellent,Essen und Unterkunft waren ausgezeichnet.
Aushilfe,die,temporary help; assistant,Wir suchen eine freundliche Aushilfe für unser Geschäft.
Auskunft,die,information,Ich hätte gern eine Auskunft.
Ausland,das,foreign country; abroad,Das Ausland steht auf meiner Liste.
Ausländer,der,foreigner,Viele Ausländer und Ausländerinnen lernen in der Volkshochschule Deutsch.
ausländisch,,foreign,Die ausländischen Studenten müssen zuerst einen Deutschkurs besuchen.
ausmachen,,to turn off; to arrange,Sie müssen leider warten. – Kein Problem. Das macht mir nichts aus.
Ausnahme,die,exception,Normalerweise muss ich am Wochenende arbeiten. Aber heute ist eine Ausnahme.
ausreichen,,to be enough,Das Geld muss bis März ausreichen.
ausreichend,,sufficient,Das Geld ist für die Reise ausreichend.
ausrichten,,to pass on; to deliver; to convey,Sie ruhen sich von der Arbeit aus.
ausschließen,,to exclude; to rule out,Das kann man nicht ganz ausschließen.
ausschließlich,,exclusively; only,Tut mir leid. Wir haben ausschließlich Nichtraucherzimmer.
aussehen,,to look,Sie sehen wieder besser aus. Sind Sie wieder gesund?
außen,,outside; exterior,Wir haben das Schloss nur von außen gesehen.
außerhalb,,outside of,Wir wohnen außerhalb von Berlin.
äußerlich,,external; for external use,Das Medikament dürfen Sie nur äußerlich anwenden.
außer,,except; apart from,Außer Lisa hat sich niemand um die Stelle beworben.
außerdem,,besides; additionally,Möchten Sie außerdem noch etwas?
Aussicht,die,view; prospect,Von diesem Turm hat man eine tolle Aussicht.
aussprechen,,to pronounce; to express,Wie spricht man dieses Wort aus?
Aussprache,die,pronunciation,Die Aussprache passt gut zu diesem Thema.
ausstellen,,to exhibit; to issue,Im Schaufenster sind Winterschuhe ausgestellt.
Ausstellung,die,exhibition,Wir waren mit der Lehrerin in einer Ausstellung.
auswählen,,to choose,Für die Aufgabe können Sie aus drei Themen auswählen.
Auswahl,die,selection,Wir müssen eine Auswahl aus den Büchern treffen.
Ausweis,der,ID card,Der Ausweis passt gut zu diesem Thema.
ausziehen,,to take off; to move out,Willst du den Mantel nicht ausziehen?
Auto,das,car,Mario fährt mit dem Auto zur Arbeit.
Autobahn,die,highway; motorway,n Das Dorf liegt direkt an der Autobahn.
Automat,der,machine; vending machine,Zigaretten bekommst du am Automaten.
automatisch,,automatic,Dieses Wort heißt 'automatisch'.
Autor,der,author,Der Autor ist heute wichtig.
Autorin,die,author,zwei Bücher geschrieben.
backen,,to bake,"Wenn du kommst, backe ich einen Kuchen."
Bäckerei,die,bakery,Wir kaufen unser Brot immer in der Bäckerei am Markt.
baden,,to bathe; to swim,Dieses Verb heißt 'baden'.
gebadet,,bathed,Badezimmer ist dort hinten links. Hier ist Baden verboten!
Bad,das,bath; bathroom,Nach einem warmen Bad fühlt man sich gleich viel besser. Ich möchte ein Zimmer mit Bad.
Badewanne,die,bathtub,Nach einem langen Arbeitstag setzte sie sich in die Badewanne.
Bahn,die,train; railway,Ich komme mit der Bahn. Die S-Bahn ist schneller als die Straßenbahn.
Straßenbahn,die,tram; streetcar,Nehmen Sie die Straßenbahn Nr.
U-Bahn,die,subway; underground train,Die letzte U-Bahn geht um 15 Uhr.
Bahnhof,der,train station,Ich bringe Sie zum Bahnhof.
Bahnsteig,der,platform,Auf Hauptbahnhöfen gibt es meist viele Bahnsteige.
bald,,soon,Besuchen Sie uns doch bald mal.
Balkon,der,balcony,Die Wohnung hat auch einen kleinen Balkon.
Ball,der,ball,Ich spiele gern mit meinen Kindern Ball.
Ballett,das,ballet,Meine Tochter möchte gern Ballett tanzen.
Banane,die,banana,"1 Kilo Bananen, bitte."
Bank,die,bench; bank,"Kommt, wir setzen uns auf die Bank da vorne."
Bancomat/Bankomat,der,ATM; cash machine,Ich hole noch schnell Geld vom Bankomaten.
Bankleitzahl,die,bank code; sort code,Bitte geben Sie Ihre Bankleitzahl an.
Bankomat-Karte,die,ATM card; debit card,Sie können auch mit Bankomat-Karte zahlen.
Bar,die,bar,Setzen wir uns doch an die Bar!
bar,,cash; in cash,'bar' kommt in vielen Texten vor.
Bargeld,das,cash,Ich habe kein Bargeld mehr.
Bart,der,beard,John trägt jetzt einen Bart.
Basketball,der,basketball,Sie spielt sehr gern Basketball.
basteln,,to do crafts; to tinker,Die Kinder basteln ein Vogelhaus.
Batterie,die,battery,Bringst du bitte Batterien für die Kamera mit?
Bauch,der,belly; stomach,Mir tut der Bauch weh.
bauen,,to build,Mein Nachbar hat ein Haus gebaut.
Bau,der,construction; building,Ich wohne in einer Neubauwohnung.
Baustelle,die,construction site,Wir müssen die Baustelle umfahren.
Bauer,der,farmer,Wir kaufen unser Gemüse beim Bauern.
Baum,der,tree,Wir haben zwei Bäume im Garten.
beachten,,to note; to observe; to pay attention to,Bitte beachten Sie die Ansagen am Bahnsteig.
Beamte,der,civil servant; official,Meine Frau ist Beamtin bei der Polizei.
Beamtin,die,civil servant; official,Die Beamtin kommt in der Prüfung vor.
beantragen,,to apply for,Hast du schon einen neuen Pass beantragt?
beantworten,,to answer,Sie haben meine Frage leider nicht beantwortet.
sich bedanken,,to thank,Ich möchte mich noch einmal sehr herzlich für Ihre Hilfe bedanken.
Bedarf,der,need; demand,An diesem Produkt besteht großer Bedarf.
bedeuten,,to mean,Was bedeutet dieses Wort?
Bedeutung,die,meaning; importance,Die Bedeutung ist ein nützliches Wort.
bedienen,,to serve; to operate,Werden Sie schon bedient?
Bedienungsanleitung,die,instruction manual,Die Bedienungsanleitung verstehe ich nicht.
Bedingung,die,condition; requirement,"Wenn Sie unsere Bedingungen akzeptieren, können wir einen Vertrag machen."
sich beeilen,,to hurry,Wir müssen uns beeilen. Sonst verpassen wir den Zug.
beenden,,to end; to finish,Du musst deine Ausbildung auf jeden Fall beenden.
sich befinden,,to be located,Das Bord-Bistro befindet sich in der Mitte des Zuges.
befreit,,exempt; freed,Studenten und Studentinnen sind von den Rundfunk-Gebühren befreit.
befriedigend,,satisfactory,Das Ergebnis ist befriedigend.
begegnen,,to meet; to encounter,Sind wir uns nicht schon mal irgendwann begegnet?
begeistert,,enthusiastic,Es war ein tolles Konzert. Ich bin begeistert.
beginnen,,to begin,In zwei Wochen beginnen die Sommerferien.
Beginn,der,beginning; start,Zu Beginn der Stunde begrüßt die Lehrerin ihre Schüler.
begleiten,,to accompany,Ich begleite dich ein Stück.
begrenzt,,limited,Die Teilnehmerzahl ist auf 12 begrenzt.
begründen,,to justify; to give reasons,Bitte begründen Sie Ihre Meinung.
Begründung,die,reason; justification,Die Miete wurde ohne Begründung erhöht.
begrüßen,,to greet; to welcome,Der Gastgeber begrüßt seine Gäste.
behalten,,to keep,Darf ich die Zeitschrift behalten?
behandeln,,to treat,Welcher Arzt hat Sie bis jetzt behandelt?
behaupten,,to claim; to assert,"Er behauptet, unsere Meinung sei nicht wichtig."
behindern,,to hinder; to obstruct,"Bitte parken Sie so, dass Sie niemanden behindern."
behindert,,disabled,Seit dem Unfall ist das Kind unserer Freunde behindert.
Behörde,die,authority; government office,Sie erhalten ein Schreiben von der zuständigen Behörde.
bei,,near; at; with,Potsdam liegt bei Berlin.
beide,,both,Beide waren mit meinem Vorschlag einverstanden.
beinahe,,almost; nearly,Ich habe heute beinahe den Bus verpasst.
Beispiel,das,example,Können Sie mir ein Beispiel sagen?
beißen,,to bite,"Pass auf, dass dich der Hund nicht beißt!"
Beitrag,der,contribution; fee,Die Krankenkasse hat die Beiträge erhöht.
bekannt,,known; familiar,Ein Onkel von mir ist ein bekannter Politiker.
Bekannte,der,acquaintance,Der Bekannte passt gut zu diesem Thema.
Bekannte,die,acquaintance,Die Bekannte ist heute wichtig.
bekannt geben,,to announce,Das Verb 'bekannt geben' ist wichtig.
bekannt gegeben,,announced,'bekannt gegeben' kommt in vielen Texten vor.
bekommen,,to get; to receive,Haben Sie meinen Brief bekommen?
Beleg,der,receipt; document,Brauchen Sie einen Beleg?
beleidigen,,to insult,Ich wollte Sie nicht beleidigen.
beliebt,,popular,Dieses Spiel ist bei Jugendlichen sehr beliebt.
bemerken,,to notice,"Ich habe nicht bemerkt, dass das Fenster offen ist."
sich bemühen,,to make an effort; to try hard,"Er hat sich sehr bemüht, etwas Gutes zu kochen."
benötigen,,to need; to require,"Sagen Sie Bescheid, wenn Sie noch etwas benötigen."
benutzen,,to use,Benutzen Sie bitte die öffentlichen Verkehrsmittel.
Benzin,das,gasoline; petrol,Das Benzin soll wieder teurer werden.
beobachten,,to observe,Wer hat den Unfall beobachtet?
bequem,,comfortable,Meine Kinder ziehen am liebsten bequeme Sachen an.
beraten,,to advise,"Unser Personal berät Sie gern, wenn Sie Fragen haben."
Beratung,die,consultation; advice,Beratungen für Familien gibt es jeden Dienstag zwischen 14 und 16 Uhr.
berechnen,,to calculate,Die Kosten für die Fahrt müssen erst berechnet werden.
Bereich,der,area; field; section,In welchem Bereich möchten Sie arbeiten?
bereit,,ready,"Ich bin jederzeit bereit, dir zu helfen."
bereits,,already,Bitte melde dich bei Frau Kaiser. Sie hat bereits dreimal angerufen.
Berg,der,mountain,Die Zugspitze ist der höchste Berg in Deutschland.
berichten,,to report,Alle Zeitungen haben über den Unfall berichtet.
Bericht,der,report,Ich habe gestern einen interessanten Bericht gelesen.
Beruf,der,profession; job,Was sind Sie von Beruf?
beruflich,,professional; work-related,Was machen Sie beruflich?
berufstätig,,employed; working,Sind Sie berufstätig?
beruhigen,,to calm down; to reassure,Beruhigen Sie sich bitte. Es ist alles in Ordnung.
berühmt,,famous,Michael Schumacher ist ein berühmter Rennfahrer.
beschädigen,,to damage,"Bitte machen Sie eine Liste davon, was die Einbrecher beschädigt haben."
beschäftigen,,to occupy; to employ; to deal with,Womit haben Sie sich bei Ihrer Arbeit beschäftigt?
Beschäftigung,die,employment; occupation,"Ich suche eine Halbtagsbeschäftigung, weil ich ein kleines Kind habe."
Bescheid,der,notice; information,Den endgültigen Bescheid erhalten Sie in etwa vier Wochen. Ich erkundige mich nach den Terminen und sage Ihnen dann Bescheid. Kannst du mir bis morgen Bescheid geben?
beschließen,,to decide; to resolve,"Wir haben beschlossen, uns ein kleineres Auto zu kaufen."
beschränken,,to limit; to restrict,Die Teilnehmerzahl für den Kurs ist beschränkt.
beschreiben,,to describe,Kannst du mir den Weg zum Flughafen beschreiben?
Beschreibung,die,description,Eine Beschreibung des Geräts liegt bei.
sich beschweren,,to complain,Ich übe das reflexive Verb 'beschweren'.
besetzen,,occupied; taken,Dieser Platz ist besetzt.
besichtigen,,to visit; to tour,Im Urlaub haben wir Schloss Schönbrunn besichtigt.
besitzen,,to own; to possess,Besitzt Ihre Frau ein eigenes Auto?
besonders,,especially; special,Ich habe heute ein besonders günstiges Angebot gesehen.
besorgen,,to get; to arrange; to procure,Soll ich die Eintrittskarten besorgen?
besprechen,,to discuss,"Wir müssen noch genau besprechen, wann wir losfahren und was wir mitnehmen."
Besprechung,die,meeting; discussion,"Tut mir leid, Herr Schmidt ist noch in einer Besprechung."
Besserung,die,improvement; recovery,Die Besserung passt gut zu diesem Thema.
bestätigen,,to confirm,Die Firma hat mir den Termin schriftlich bestätigt.
Bestätigung,die,confirmation,Ich brauche eine schriftliche Bestätigung für das Amt.
bestehen,,to consist; to pass,Das Modul Lesen besteht aus fünf Teilen.
bestellen,,to order,Wir haben Pizza bestellt.
bestimmt,,certain; definite; certainly,Das hat Nancy bestimmt nicht so gemeint.
bestrafen,,to punish,Zu schnelles Fahren wird streng bestraft.
besuchen,,to visit,Besuchen Sie uns doch mal.
Besuch,der,visit; visitor,Wir bekommen Besuch.
sich beteiligen,,to participate; to contribute,Wir wollen unserer Lehrerin ein Geschenk kaufen. Wer möchte sich beteiligen?
Betrag,der,amount; sum,Bitte überweisen Sie den Betrag auf unser Konto.
betreuen,,to look after; to supervise,Wer betreut bei Ihnen die Kinder?
Betreuer,der,supervisor; caregiver,Die Betreuerin der Kinder ist sehr nett.
Betreuung,die,care; supervision,Die Betreuung kommt in der Prüfung vor.
Betrieb,der,company; business; operation,In diesem Betrieb arbeiten zehn Leute.
Betriebsrat,der,works council,Der Betriebsrat passt gut zu diesem Thema.
Betriebsrätin,die,works council member,Der Betriebsrat wird über die neuen Arbeitszeiten informieren.
betrügen,,to cheat; to deceive,Ich würde meine Familie niemals betrügen.
betrunken,,drunk,"Wenn Sie betrunken Auto fahren, verlieren Sie Ihren Führerschein."
Bett,das,bed,Wir wollten uns neue Betten kaufen.
Bevölkerung,die,population,11 % der Bevölkerung wurden nicht im Inland geboren.
bevor,,before,"Bevor wir gehen, möchte ich noch etwas essen."
bewegen,,to move,Ich kann mich vor Schmerzen kaum noch bewegen.
Bewegung,die,movement; exercise,Sie brauchen mehr Bewegung. Sie müssen regelmäßig spazieren gehen.
beweisen,,to prove,"Wir können beweisen, dass Sie bei Rot über die Ampel gefahren sind."
Beweis,der,proof; evidence,Der Beweis ist wichtig.
sich bewerben,,to apply,Ich habe mich um diese Stelle beworben.
Bewerbung,die,application,Wohin soll ich meine Bewerbung schicken?
Bewohner,der,resident; inhabitant,Ich kenne die anderen Hausbewohner nicht.
bezahlen,,to pay,Hast du die Rechnung schon bezahlt?
Beziehung,die,relationship; connection,Wir haben gute Beziehungen zu unseren Nachbarn.
Bibliothek,die,library,Die Stadtbibliothek hat bereits geschlossen.
Bier,das,beer,Das Bier steht auf meiner Liste.
bieten,,to offer,Er hat mir für den alten Wagen noch 800 Euro geboten.
Bild,das,picture; image,Ein Bild von meinen Kindern hängt über meinem Schreibtisch.
Bildschirm,der,screen; monitor,Ich brauche einen größeren Bildschirm für meinen Computer.
Billett,das,ticket,"D, A:Ein Billett können Sie am Schalter kaufen."
billig,,cheap; inexpensive,Dieses Buch ist nicht ganz billig.
Biologie,die,biology,Die Biologie kommt in der Prüfung vor.
Birne,die,pear,Möchten Sie Obst? Die Birnen sind heute besonders schön.
bis,,until; by; to,Die Linie 8 fährt nur bis zum Hauptbahnhof.
bisher,,so far; until now,Bisher ist alles in Ordnung.
ein bisschen,,a little bit,"Wenn Sie ein bisschen warten, können wir zusammen gehen."
bitten,,to ask; to request,"Darf ich Sie bitten, kurz zuzuhören?"
Bitte,die,request; please,Die Bitte ist ein nützliches Wort.
bitte,,please,Ich wiederhole heute 'bitte'.
bitter,,bitter,Hast du Zucker? Der Tee ist sehr bitter.
